Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
setup_files,0-2025.02.14.02.37,https://github.com/v4hn/setup_files/tree/main,success,setup_files_0-2025.02.14.02.37-bloom_generate.log,ros-one-setup-files_0-2025.02.14.02.37_amd64-2025-02-14T02:37:35Z.build,ros-one-setup-files_0-2025.02.14.02.37_amd64.deb,ros-one-setup-files_0-2025.02.14.02.37_amd64.files
ros_environment,1.3.2-5-g2686e94-2025.02.14.02.38,https://github.com/ros-o/ros_environment/tree/debian,success,ros_environment_1.3.2-5-g2686e94-2025.02.14.02.38-bloom_generate.log,ros-one-ros-environment_1.3.2-5-g2686e94-2025.02.14.02.38_amd64-2025-02-14T02:38:11Z.build,ros-one-ros-environment_1.3.2-5-g2686e94-2025.02.14.02.38_amd64.deb,ros-one-ros-environment_1.3.2-5-g2686e94-2025.02.14.02.38_amd64.files
cpp_common,0.7.3-3-gcae00b4-2025.02.14.02.40,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,cpp_common_0.7.3-3-gcae00b4-2025.02.14.02.40-bloom_generate.log,ros-one-cpp-common_0.7.3-3-gcae00b4-2025.02.14.02.40_amd64-2025-02-14T02:40:35Z.build,ros-one-cpp-common_0.7.3-3-gcae00b4-2025.02.14.02.40_amd64.deb,ros-one-cpp-common_0.7.3-3-gcae00b4-2025.02.14.02.40_amd64.files
roscpp_core,0.7.3-3-gcae00b4-2025.02.14.02.41,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_core_0.7.3-3-gcae00b4-2025.02.14.02.41-bloom_generate.log,ros-one-roscpp-core_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64-2025-02-14T02:41:13Z.build,ros-one-roscpp-core_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64.deb,ros-one-roscpp-core_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64.files
roscpp_traits,0.7.3-3-gcae00b4-2025.02.14.02.41,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_traits_0.7.3-3-gcae00b4-2025.02.14.02.41-bloom_generate.log,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64-2025-02-14T02:41:45Z.build,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64.deb,ros-one-roscpp-traits_0.7.3-3-gcae00b4-2025.02.14.02.41_amd64.files
rostime,0.7.3-3-gcae00b4-2025.02.14.02.42,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,rostime_0.7.3-3-gcae00b4-2025.02.14.02.42-bloom_generate.log,ros-one-rostime_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64-2025-02-14T02:42:18Z.build,ros-one-rostime_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64.deb,ros-one-rostime_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64.files
roscpp_serialization,0.7.3-3-gcae00b4-2025.02.14.02.42,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_serialization_0.7.3-3-gcae00b4-2025.02.14.02.42-bloom_generate.log,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64-2025-02-14T02:42:59Z.build,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64.deb,ros-one-roscpp-serialization_0.7.3-3-gcae00b4-2025.02.14.02.42_amd64.files
convex_decomposition,0.1.12-3-gb722eb5-2025.02.14.02.40,https://github.com/ros/convex_decomposition/tree/melodic-devel,success,convex_decomposition_0.1.12-3-gb722eb5-2025.02.14.02.40-bloom_generate.log,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2025.02.14.02.40_amd64-2025-02-14T02:40:56Z.build,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2025.02.14.02.40_amd64.deb,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2025.02.14.02.40_amd64.files
gl_dependency,1.1.2-1-g337fcfc-2025.02.14.02.41,https://github.com/ros-visualization/gl_dependency/tree/kinetic-devel,success,gl_dependency_1.1.2-1-g337fcfc-2025.02.14.02.41-bloom_generate.log,ros-one-gl-dependency_1.1.2-1-g337fcfc-2025.02.14.02.41_amd64-2025-02-14T02:41:38Z.build,ros-one-gl-dependency_1.1.2-1-g337fcfc-2025.02.14.02.41_amd64.deb,ros-one-gl-dependency_1.1.2-1-g337fcfc-2025.02.14.02.41_amd64.files
openslam_gmapping,0.2.1-17-g5105476-2025.02.14.02.42,https://github.com/ros-perception/openslam_gmapping/tree/melodic-devel,success,openslam_gmapping_0.2.1-17-g5105476-2025.02.14.02.42-bloom_generate.log,ros-one-openslam-gmapping_0.2.1-17-g5105476-2025.02.14.02.42_amd64-2025-02-14T02:42:15Z.build,ros-one-openslam-gmapping_0.2.1-17-g5105476-2025.02.14.02.42_amd64.deb,ros-one-openslam-gmapping_0.2.1-17-g5105476-2025.02.14.02.42_amd64.files
roslint,0.12.0-4-gac02636-2025.02.14.02.43,https://github.com/ros/roslint/tree/master,success,roslint_0.12.0-4-gac02636-2025.02.14.02.43-bloom_generate.log,ros-one-roslint_0.12.0-4-gac02636-2025.02.14.02.43_amd64-2025-02-14T02:43:13Z.build,ros-one-roslint_0.12.0-4-gac02636-2025.02.14.02.43_amd64.deb,ros-one-roslint_0.12.0-4-gac02636-2025.02.14.02.43_amd64.files
soem,1.4.1003-1-g988013c-2025.02.14.02.43,https://github.com/mgruhler/soem/tree/melodic,success,soem_1.4.1003-1-g988013c-2025.02.14.02.43-bloom_generate.log,ros-one-soem_1.4.1003-1-g988013c-2025.02.14.02.43_amd64-2025-02-14T02:43:53Z.build,ros-one-soem_1.4.1003-1-g988013c-2025.02.14.02.43_amd64.deb,ros-one-soem_1.4.1003-1-g988013c-2025.02.14.02.43_amd64.files
code_coverage,0.4.4-5-g7c273b3-2025.02.14.02.40,https://github.com/mikeferguson/code_coverage/tree/master,success,code_coverage_0.4.4-5-g7c273b3-2025.02.14.02.40-bloom_generate.log,ros-one-code-coverage_0.4.4-5-g7c273b3-2025.02.14.02.40_amd64-2025-02-14T02:40:53Z.build,ros-one-code-coverage_0.4.4-5-g7c273b3-2025.02.14.02.40_amd64.deb,ros-one-code-coverage_0.4.4-5-g7c273b3-2025.02.14.02.40_amd64.files
librealsense2,2.54.2-7-ga359010b3-2025.02.14.02.41,https://github.com/ros-o/librealsense/tree/master,success,librealsense2_2.54.2-7-ga359010b3-2025.02.14.02.41-bloom_generate.log,ros-one-librealsense2_2.54.2-7-ga359010b3-2025.02.14.02.41_amd64-2025-02-14T02:41:43Z.build,ros-one-librealsense2_2.54.2-7-ga359010b3-2025.02.14.02.41_amd64.deb,ros-one-librealsense2_2.54.2-7-ga359010b3-2025.02.14.02.41_amd64.files
mavlink,2024.10.10-1-2025.02.14.02.55,https://github.com/mavlink/mavlink-gbp-release/tree/release/noetic/mavlink,success,mavlink_2024.10.10-1-2025.02.14.02.55-bloom_generate.log,ros-one-mavlink_2024.10.10-1-2025.02.14.02.55_amd64-2025-02-14T02:55:30Z.build,ros-one-mavlink_2024.10.10-1-2025.02.14.02.55_amd64.deb,ros-one-mavlink_2024.10.10-1-2025.02.14.02.55_amd64.files
prosilica_gige_sdk,1.26.3-2025.02.14.02.56,https://github.com/ros-drivers/prosilica_gige_sdk/tree/hydro-devel,success,prosilica_gige_sdk_1.26.3-2025.02.14.02.56-bloom_generate.log,ros-one-prosilica-gige-sdk_1.26.3-2025.02.14.02.56_amd64-2025-02-14T02:56:25Z.build,ros-one-prosilica-gige-sdk_1.26.3-2025.02.14.02.56_amd64.deb,ros-one-prosilica-gige-sdk_1.26.3-2025.02.14.02.56_amd64.files
stage,4.3.0-17-g2d2e0724-2025.02.14.02.56,https://github.com/ros-o/Stage/tree/obese-devel,success,stage_4.3.0-17-g2d2e0724-2025.02.14.02.56-bloom_generate.log,ros-one-stage_4.3.0-17-g2d2e0724-2025.02.14.02.56_amd64-2025-02-14T02:57:01Z.build,ros-one-stage_4.3.0-17-g2d2e0724-2025.02.14.02.56_amd64.deb,ros-one-stage_4.3.0-17-g2d2e0724-2025.02.14.02.56_amd64.files
baldor,0.1.3-3-g10fabc5-2025.02.14.02.40,https://github.com/crigroup/baldor/tree/master,success,baldor_0.1.3-3-g10fabc5-2025.02.14.02.40-bloom_generate.log,ros-one-baldor_0.1.3-3-g10fabc5-2025.02.14.02.40_amd64-2025-02-14T02:40:42Z.build,ros-one-baldor_0.1.3-3-g10fabc5-2025.02.14.02.40_amd64.deb,ros-one-baldor_0.1.3-3-g10fabc5-2025.02.14.02.40_amd64.files
cmake_modules,0.5.0-3-g05347c1-2025.02.14.02.41,https://github.com/ros/cmake_modules/tree/0.5-devel,success,cmake_modules_0.5.0-3-g05347c1-2025.02.14.02.41-bloom_generate.log,ros-one-cmake-modules_0.5.0-3-g05347c1-2025.02.14.02.41_amd64-2025-02-14T02:41:17Z.build,ros-one-cmake-modules_0.5.0-3-g05347c1-2025.02.14.02.41_amd64.deb,ros-one-cmake-modules_0.5.0-3-g05347c1-2025.02.14.02.41_amd64.files
genmsg,0.5.16-1-g7d8b6ce-2025.02.14.02.41,https://github.com/ros/genmsg/tree/kinetic-devel,success,genmsg_0.5.16-1-g7d8b6ce-2025.02.14.02.41-bloom_generate.log,ros-one-genmsg_0.5.16-1-g7d8b6ce-2025.02.14.02.41_amd64-2025-02-14T02:41:49Z.build,ros-one-genmsg_0.5.16-1-g7d8b6ce-2025.02.14.02.41_amd64.deb,ros-one-genmsg_0.5.16-1-g7d8b6ce-2025.02.14.02.41_amd64.files
media_export,0.3.0-2025.02.14.02.42,https://github.com/ros/media_export/tree/kinetic-devel,success,media_export_0.3.0-2025.02.14.02.42-bloom_generate.log,ros-one-media-export_0.3.0-2025.02.14.02.42_amd64-2025-02-14T02:42:23Z.build,ros-one-media-export_0.3.0-2025.02.14.02.42_amd64.deb,ros-one-media-export_0.3.0-2025.02.14.02.42_amd64.files
rosbag_migration_rule,1.0.1-1-g2269b62-2025.02.14.02.42,https://github.com/ros/rosbag_migration_rule/tree/master,success,rosbag_migration_rule_1.0.1-1-g2269b62-2025.02.14.02.42-bloom_generate.log,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2025.02.14.02.42_amd64-2025-02-14T02:42:58Z.build,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2025.02.14.02.42_amd64.deb,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2025.02.14.02.42_amd64.files
apriltag,3.4.2-33-gfc2a7b2-2025.02.14.02.40,https://github.com/AprilRobotics/apriltag/tree/master,success,apriltag_3.4.2-33-gfc2a7b2-2025.02.14.02.40-bloom_generate.log,ros-one-apriltag_3.4.2-33-gfc2a7b2-2025.02.14.02.40_amd64-2025-02-14T02:40:52Z.build,ros-one-apriltag_3.4.2-33-gfc2a7b2-2025.02.14.02.40_amd64.deb,ros-one-apriltag_3.4.2-33-gfc2a7b2-2025.02.14.02.40_amd64.files
